"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios",Início,Término,"Data da última edição",Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Alcance,Frequência,Impressões,"Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino","Visitas ao perfil do Instagram","Seguidores no Instagram","Cliques em Como chegar"
2026-07-01,2026-07-21,"CJ 02.2 [Remarketing 90D] [Geo 40km]",inactive,2026-01-15,Contínuo,2026-01-23,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 01 [Advantage - Cidades] [25-50] [Mulheres]",not_delivering,2026-01-28,Contínuo,2026-01-28,,,,0,30,Diário,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 02 [Seguidores]",not_delivering,2026-02-25,Contínuo,2026-02-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 03 [LL]",not_delivering,2026-02-25,Contínuo,2026-02-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ [INTERESSES] [MULHERES] [40KM]",not_delivering,2026-03-06,Contínuo,2026-03-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ [Remarketing] [MULHERES] [40KM]",not_delivering,2026-03-06,Contínuo,2026-03-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 03 - LL1% - 23-45 - Carrossel",not_delivering,2026-03-25,Contínuo,2026-03-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ Interesses - Geo - 18+ - 40km",inactive,2026-03-27,Contínuo,2026-04-01,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 01 [LL 2/3 LP COMERCIAL - Bairros] [25+]",not_delivering,2026-04-08,Contínuo,2026-04-08,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Cj 02[Remarketing] [40KM+] [RMC] [24+]",not_delivering,2026-04-17,Contínuo,2026-04-17,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Cj 02 [Interesses moda] [ Curitiba e RMC] [25 - 55]",not_delivering,2026-04-24,Contínuo,2026-04-27,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"[Interesses] [20+] [Curitiba 40km]",not_delivering,2026-04-29,Contínuo,2026-04-29,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 02 - Cwb 40km - remarketing 90D - Mulheres 24 - 44",not_delivering,2026-05-06,Contínuo,2026-05-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 02 [INTERESSES] [CWB 40KM] [30+]",inactive,2024-08-08,Contínuo,2024-08-08,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 01 [INTERESSES] [GEOLOCALIZADA] [CARGOS] [25+]",inactive,2024-08-08,Contínuo,2024-08-08,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 01 [Intesses ] [Geo] [10km]",not_delivering,2024-09-05,Contínuo,2024-09-05,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CA [TRÁFÉGO] [MARATON KIDS]",not_delivering,2024-09-11,Contínuo,2024-09-11,,,,0,20,Diário,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Novo conjunto de anúncios de Tráfego — Cópia",not_delivering,2024-09-12,Contínuo,2024-09-12,,,,0,20,Diário,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 03[seguidores] [19+] 6km",not_delivering,2024-12-19,Contínuo,2025-03-28,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 03 [Seguidores] [10km] [23+]",not_delivering,2025-01-07,Contínuo,2025-01-09,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 04 [IG 30D] [CURITIBA]",not_delivering,2025-01-31,Contínuo,2025-01-31,0,reach,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 02 [Interesses] [Geo 5km] [25+] [VD]",not_delivering,2025-02-24,Contínuo,2025-02-24,0,reach,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
