"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Início,"Data da última edição",Término,Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"Cliques no link únicos","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino"
2026-07-01,2026-07-21,"CA 97 [Speed Motors - Whatsapp]",inactive,2025-05-05,2026-06-01,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 81 [Sítima - Whatsapp]",inactive,2025-06-10,2026-05-29,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 105 [OFERTAS DA SEMANA]",inactive,2025-06-26,2025-08-21,Contínuo,,,,80,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ofertas da Semana [INSTAGRAM]",inactive,2025-07-18,2025-08-21,Contínuo,,,,15,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 110 [Tipave]",inactive,2025-09-18,2025-10-16,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 113 [Ofertas] [Tráfego site]",inactive,2025-10-16,2026-01-16,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [SOUTH- WHATSAPP]",inactive,2025-12-16,2025-12-24,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 02/26 [Tráfego - site] [Feirão - Safra]",inactive,2026-01-05,2026-01-12,Contínuo,,,,100,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 07/26 [Tipave - Whatsapp]",inactive,2026-01-21,2026-05-29,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Feirão IPVA]",inactive,2026-02-19,2026-03-05,Contínuo,,,,100,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Feirão Março - 10-23",inactive,2026-03-10,2026-03-23,Contínuo,,,,169.23,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ofertas Pascoa [Tráfego site]",inactive,2026-04-02,2026-04-08,Contínuo,,,,150,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Feirão Safra] [Tráfego",inactive,2026-04-14,2026-04-27,Contínuo,,,,500,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 50 [ Mensagem ] [Dgongora]",inactive,2024-08-28,2024-08-29,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [AUTOTRADE] [WHATSAPP]",inactive,2024-09-09,2026-04-15,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 58 [Tráfego] [Ofertas da semana] [ Setembro]",inactive,2024-09-12,2024-09-19,Contínuo,,,,50,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 59 [Tráfego] [Feirão Setembro 20, 21e 22 ]",inactive,2024-09-16,2024-09-25,Contínuo,,,,100,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 60 [Ofertas da semana] [ Setembro] [18 a 24]",inactive,2024-09-19,2024-10-04,Contínuo,,,,50,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 25 [Mensagem] [South Motors]",inactive,2024-09-19,2025-01-30,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 70 [Ofertas da semana] [Tráfego Site Lojas]",inactive,2025-01-30,2025-02-07,Contínuo,,,,100,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 71 [Tráfego - site] [Ofertas da semana]",inactive,2025-02-13,2025-06-26,Contínuo,,,,120,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 72 [Alcance] [ Conteudos IG]",inactive,2025-02-13,2025-04-23,Contínuo,0,reach,,30,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 74 [Feirão - Safra] [Tráfego]",inactive,2025-03-26,2025-03-31,Contínuo,,,,400,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 80 [Tráfego - site] [FEIRÃO ITAU]",inactive,2025-04-17,2025-04-28,Contínuo,,,,60,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 85 [Auto Trade - Whatsapp]",inactive,2025-04-23,2026-05-29,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 76 [Pitt Bull - Whatsapp]",inactive,2025-05-02,2026-05-29,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 96 [Luvile - Whatsapp]",inactive,2025-05-05,2026-05-29,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Post Instagram",inactive,2025-06-17,2025-06-26,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Post do Instagram: Vem ver o convite que a Amabile e a Fabiane do Safra Financeira tem pra você!",inactive,2025-06-25,2025-07-01,Contínuo,,,,100,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"[INSTITUCIONAL] [ALCANCE]",inactive,2025-08-05,2025-10-16,Contínuo,0,reach,,35,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 107 [Whatsapp - Dgongora]",inactive,2025-08-27,2026-03-19,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 109 [Feirão C6] [Alcance]",inactive,2025-09-16,2025-10-06,Contínuo,0,reach,,200,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 112 [Feirão Bradesco]",inactive,2025-10-16,2025-11-03,Contínuo,,,,50,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [ FEIRÃO SANTANDER]",inactive,2025-11-05,2025-11-17,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 10/26 [Ação Itau] [Tráfego site]",inactive,2026-02-02,2026-02-10,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [DGONGORA]",inactive,2026-03-19,2026-04-09,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA - LOJA [Tipave] [Whatsapp]",inactive,2026-03-26,2026-05-29,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
